County	Population	Unemployment Rate
Androscoggin	104112	7.5
Aroostock	80702	10.0
Cumberland	250156	4.1
Franklin	29462	9.1
Hancock	49640	3.9
Kennebec	117610	5.9
Knox	37740	3.4
Lincoln	31533	3.5
Oxford	53080	8.8
Penobscot	147000	6.4
Piscataquis	18085	9.0
Sagadahoc	33468	4.1
Somerset	50306	10.2
Waldo	34390	6.0
Washington	35427	9.6
York	170071	4.4
